"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*02hdy*","Pierce Johnson","ATL","RP","531","FA","34","@KC Wed 1:10PM","122.5","2.99","10%","-0.6%"
"*061jc*","Tim Herrin","CLE","RP","532","FA","28","COL Wed 5:40PM","122.5","3.14","6%","-0.7%"
"*03amq*","German Marquez","COL","SP","533","FA","30","@CLE Wed 5:40PM","122","6.1","14%","-0.7%"
"*05a1v*","Keider Montero","DET","SP,RP","536","FA","25","ARI Wed 12:10PM","120.5","8.03","13%","-3.8%"
"*03dqv*","Tanner Banks","PHI","RP","537","FA","33","@CHW Wed 1:10PM","120.5","2.62","3%","-0.4%"
"*02yh5*","Amed Rosario","NYY","2B,3B,OF","538","FA","29","TB Wed 6:05PM","120","2.5","13%","-0.3%"
"*04psv*","Steven Wilson","CHW","RP","541","FA","30","PHI Wed 1:10PM","119","3.31","3%","-1%"
"*0512u*","Jack Kochanowicz","LAA","SP","542","FA","24","TEX Wed 8:38PM","118.5","5.93","12%","-1.1%"
"*025dq*","Taijuan Walker","PHI","SP,RP","543","FA","32","@CHW Wed 1:10PM","118.5","5.39","19%","-1.8%"
"*02mzf*","Rob Refsnyder","BOS","OF","545","FA","34","@MIN Wed 12:10PM","118.5","2.47","6%","-0.5%"
"*02zpf*","Edmundo Sosa","PHI","2B,3B,SS","546","FA","29","@CHW Wed 1:10PM","118","2.07","12%","-0.1%"
"*04y8z*","Erik Miller","SF","SP,RP","547","FA","27","PIT Wed 2:45PM","117.5","3.26","9%","-1.1%"
"*03fhx*","Elias Diaz","SD","C","548","FA","34","NYM Wed 3:10PM","117.5","1.38","7%","+0.2%"
"*02hxd*","Danny Coulombe","MIN","RP","549","FA","35","BOS Wed 12:10PM","117.5","2.94","12%","-2.5%"
"*05131*","Tyler Fitzgerald","SF","2B,SS","551","W <small>(Thu)</small>","27","PIT Wed 2:45PM","117","1.86","36%","+3.4%"
"*051z5*","Daysbel Hernandez","ATL","RP","552","FA","28","@KC Wed 1:10PM","117","3.77","6%","-1.3%"
"*05tjx*","Steven Cruz","KC","RP","553","FA","26","ATL Wed 1:10PM","116.5","2.84","5%","-2.1%"
"*005ih*","Clayton Kershaw","LAD","SP","556","W <small>(Fri)</small>","37","@CIN Wed 6:10PM","115","9.58","66%","-8.7%"
"*02h98*","Enrique Hernandez","LAD","1B,2B,3B,OF,RP","557","FA","33","@CIN Wed 6:10PM","115","1.6","15%","-0.2%"
"*03div*","Jake Latz","TEX","SP,RP","558","FA","29","@LAA Wed 8:38PM","115","4.79","8%","-2.8%"
"*051dw*","Brandon Eisert","CHW","SP,RP","559","FA","27","PHI Wed 1:10PM","114.5","2.49","2%","-0.8%"
